source_file,check_name,raw_passed,cleaned_passed,raw_detail,cleaned_detail,raw_quality_score,cleaned_quality_score
C:\Users\Ruhani\Downloads\S017R10.edf,clipping_check,True,True,{'flagged_channels': []},{'flagged_channels': []},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,noise_check,False,True,{'high_to_low_band_ratio': 1.1785},{'high_to_low_band_ratio': 0.0268},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,baseline_drift_check,False,True,{'drift_power': 6.900714605178098e-09},{'drift_power': 2.836157521014978e-10},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,artifact_kurtosis_check,True,True,{'mean_abs_kurtosis': 0.974},{'mean_abs_kurtosis': 2.5572},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,flatline_check,True,True,{'flagged_channels': []},{'flagged_channels': []},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,clipping_check,True,True,{'flagged_channels': []},{'flagged_channels': []},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,noise_check,False,True,{'high_to_low_band_ratio': 1.1785},{'high_to_low_band_ratio': 0.0268},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,baseline_drift_check,False,True,{'drift_power': 6.900714605178098e-09},{'drift_power': 2.836157521014978e-10},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,artifact_kurtosis_check,True,True,{'mean_abs_kurtosis': 0.974},{'mean_abs_kurtosis': 2.5572},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,flatline_check,True,True,{'flagged_channels': []},{'flagged_channels': []},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,clipping_check,True,True,{'flagged_channels': []},{'flagged_channels': []},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,noise_check,False,True,{'high_to_low_band_ratio': 1.1785},{'high_to_low_band_ratio': 0.0268},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,baseline_drift_check,False,True,{'drift_power': 6.900714605178098e-09},{'drift_power': 2.836157521014978e-10},0.6,1.0
C:\Users\Ruhani\Downloads\S017R10.edf,artifact_kurtosis_check,True,True,{'mean_abs_kurtosis': 0.974},{'mean_abs_kurtosis': 2.5572},0.6,1.0
C:\Users\Ruhani\Downloads\S017R14.edf,flatline_check,True,True,{'flagged_channels': []},{'flagged_channels': []},0.6,1.0
C:\Users\Ruhani\Downloads\S017R14.edf,clipping_check,True,True,{'flagged_channels': []},{'flagged_channels': []},0.6,1.0
C:\Users\Ruhani\Downloads\S017R14.edf,noise_check,False,True,{'high_to_low_band_ratio': 0.6651},{'high_to_low_band_ratio': 0.0326},0.6,1.0
C:\Users\Ruhani\Downloads\S017R14.edf,baseline_drift_check,False,True,{'drift_power': 8.002232660738527e-09},{'drift_power': 2.9452267260776354e-10},0.6,1.0
C:\Users\Ruhani\Downloads\S017R14.edf,artifact_kurtosis_check,True,True,{'mean_abs_kurtosis': 1.0559},{'mean_abs_kurtosis': 1.5064},0.6,1.0
